eV,R
1.,152.47760611834877408909960649907588958740234375
3.,137.43229471872115254882373847067356109619140625
5.,126.4576156341311303776819841004908084869384765625
7.,117.68527710051370149813010357320308685302734375
9.,110.378939912864865391384228132665157318115234375
11.,104.10838669095568320699385367333889007568359375
13.,98.6223389009693249818155891261994838714599609375
15.,93.7626146896567433941527269780635833740234375
17.,89.410500351088018078371533192694187164306640625
19.,85.4838492893276651329870219342410564422607421875
21.,81.8984368838712413207758800126612186431884765625
23.,78.6204145003801926350206485949456691741943359375
25.,75.598226366322393232621834613382816314697265625
27.,72.802384678014959717984311282634735107421875
29.,70.2115550877197875934143667109310626983642578125
31.,67.80571684951593169898842461407184600830078125
33.,65.540923185172317744218162260949611663818359375
35.,63.42953371227514480779063887894153594970703125
37.,61.43780710573054193446296267211437225341796875
39.,59.56354290684272001499266480095684528350830078125
41.,57.79202236431664374549654894508421421051025390625
43.,56.12212745553625836691935546696186065673828125
45.,54.5307143859049716638764948584139347076416015625
47.,53.0158455883621257953564054332673549652099609375
49.,51.581176056275609198564779944717884063720703125
51.,49.237659817953368701637373305857181549072265625
56.,46.1722423658611887731240130960941314697265625
61.,43.4170208969866280312999151647090911865234375
66.,40.91598792596514613251201808452606201171875
71.,37.58126114903030838831909932196140289306640625
81.,29.3401812291087002776270636763328160995092147435897435897435897435897435897435897435897435897435897
120.,29.3412768068148393351107071607540815304487179487179487179487179487179487179487179487179487179487179
