eV,R
1.,171.00118906701806054115877486765384674072265625
3.,148.6489892678791875368915498256683349609375
5.,134.58050734969509676375309936702251434326171875
7.,124.2713010794301311534582055173814296722412109375
9.,115.863179471221343419529148377478122711181640625
11.,108.695129290741220984273240901529788970947265625
13.,102.4728006121706727071796194650232791900634765625
15.,96.9982421798537330914768972434103488922119140625
17.,92.1082301137885650632597389630973339080810546875
19.,87.7147468273795993809471838176250457763671875
21.,83.7264517336794966695379116572439670562744140625
23.,80.08418966685030682128854095935821533203125
25.,76.757146373589392851499724201858043670654296875
27.,73.688360621287841922821826301515102386474609375
29.,70.8674204376176675168608198873698711395263671875
31.,68.26863651674801758417743258178234100341796875
33.,65.853565857662289317886461503803730010986328125
35.,63.630770739210589681533747352659702301025390625
37.,61.5640288281800991398995392955839633941650390625
39.,59.6426644835557766555211856029927730560302734375
41.,57.8431470235642706256840028800070285797119140625
43.,56.1581409499712123079007142223417758941650390625
45.,54.5587447859696368368531693704426288604736328125
47.,53.040073271136719768037437461316585540771484375
49.,51.6021328347723198248786502517759799957275390625
51.,49.25419830377871903692721389234066009521484375
56.,46.183646259057286442839540541172027587890625
61.,43.424644163904025617739534936845302581787109375
66.,40.921885373656067486081155948340892791748046875
71.,37.585530026476072862351429648697376251220703125
81.,29.3412768068148393351107071607540815304487179487179487179487179487179487179487179487179487179487179
120.,29.3412768068148393351107071607540815304487179487179487179487179487179487179487179487179487179487179
