eV,R
1.,50.20309359808243243605829775333404541015625
3.,49.761054003647359422757290303707122802734375
5.,49.31905588751096303212761995382606983184814453125
7.,48.87709924695956686946374247781932353973388671875
9.,48.435184079228207565392949618399143218994140625
11.,47.993310382245994105687714181840419769287109375
13.,47.55147815207003958448694902472198009490966796875
15.,47.10968738697886948330051382072269916534423828125
17.,46.6679380848125475722554256208240985870361328125
19.,46.22623024089876508924135123379528522491455078125
21.,45.78456385435929831828616443090140819549560546875
23.,45.34293892113119994746739394031465053558349609375
25.,44.90135544333409001183099462650716304779052734375
27.,44.45981341018507038143070531077682971954345703125
29.,44.0183128260481311144758365117013454437255859375
31.,43.576853683936604966220329515635967254638671875
33.,43.13543598339487061821273528039455413818359375
35.,42.6940597210720369503178517334163188934326171875
37.,42.25272489421357846595128648914396762847900390625
39.,41.81143150133643615617984323762357234954833984375
41.,41.3701795375430805279393098317086696624755859375
43.,40.92896900234956802933083963580429553985595703125
45.,40.487799895248514303602860309183597564697265625
47.,40.04667220610178191009254078380763530731201171875
49.,39.60558593742818089822321780957281589508056640625
51.,38.83379368650467995394137687981128692626953125
56.,37.731440386462503511211252771317958831787109375
61.,36.629345873540256661726743914186954498291015625
66.,35.52751010673118798877112567424774169921875
71.,33.875273846093904239751282148063182830810546875
81.,28.4825300481062617435758837904685582870092147435897435897435897435897435897435897435897435897435897
120.,28.4825300481062617435758837904685582870092147435897435897435897435897435897435897435897435897435897
