MeV,fissionMeV
0.1,1.862888533236700162451505918288041068608626289330976940743596815092936332492481734638532898643185897
0.2,3.39676544797651400056819421379001375181444776490206474322234956502978063991756277277847142844659202
0.3,4.91106116202317099704144584209258727882586856254137055360343764868734374559808990092387915015611747
0.4,4.79936855952519755765544690330394160694109540897541709704035782192879394340729583902303050577323846
0.5,3.52599634432752897909956502546854396286632751805556887857687357055186792789138218060118601137239138
0.6,3.237060860058153640852415725659997567957926415899841555260477762783527435272342092710958605211782494
0.7,3.135242571337769471924264431271073044091455245186950668158699397142898946694604088008142480639244391
0.8,3.060735329417611060996307548601493527085252960217370809966362934414969318893564804571354892608159136
0.9,2.945227928838887455399476891064642245142546448464925341552799224462351866812828453771822742992827425
1.,2.934559321720635462282890811258884268036259171490940012575754797607283766845524366805075240392549897
1.1,2.87597077394985370292229046442192662871552057871142361597466482847371692085516927957266522021986895
1.2,2.326093370466152825274012777455197828167718792596391452875610587215790447574100724398303296042287721
1.3,1.964453432096345328119883213986140522579470739417542606825639980203561140135000085503355391700713149
1.4,1.810042925075396343758472697116035082565869382983403669909675097761459186668816894844820633603742491
1.5,1.65857153617010580872101771032375629302432593715601904317362700605964384541944357551667889885107697
1.6,1.562336463784779939954426250967450825848152620878522477054413326519581778879303959797303700387633789
1.7,1.477653261148297352524182252770048811446057045535021977660627972960816514139973935827244571466514522
1.8,1.393623073058599931455620019010172033881291845048722466400968294377271111823020938828521599242367513
1.9,1.309288875329155786547523958842748595737430085964226468021591541570499547119525330189887082242294218
2.,1.2165
2.1,1.14458
2.2,1.07266
2.3,0.998104
2.4,0.920912
2.5,0.84372
2.6,0.79418
2.7,0.74464
2.8,0.697268
2.9,0.652064
3.,0.60686
3.1,0.564564
3.2,0.522268
3.3,0.483408
3.4,0.447984
3.5,0.41256
3.6,0.379512
3.7,0.346464
3.8,0.3164
3.9,0.28932
4.,0.26224
4.1,0.239976
4.2,0.217712
4.3,0.196884
4.4,0.177492
4.5,0.1581
4.6,0.1431104
4.7,0.1281208
4.8,0.1152868
4.9,0.1046084
5.,0.09393
5.1,0.0859292
5.2,0.0779284
5.3,0.0701912
5.4,0.0627176
5.5,0.055244
5.6,0.0505736
5.7,0.0459032
5.8,0.0412544
5.9,0.0366272
6.,0.032
6.1,0.0283532
6.2,0.0247064
6.3,0.02180052
6.4,0.01963556
6.5,0.0174706
6.6,0.01581988
6.7,0.01416916
6.8,0.01255336
6.9,0.01097248
7.,0.0093916
7.1,0.00795792
7.2,0.00652424
7.3,0.0053843
7.4,0.0045381
7.5,0.0036919
7.6,0.003118276
7.7,0.002544652
7.8,0.00206796
7.9,0.0016882
